상호명,주소,위도,경도
명지슈퍼,인천광역시 연수구 청능말로 12,37.425383,126.671367
이마트24연수청학점,인천광역시 연수구 솔샘로 46,37.42442,126.666031
당진하이퍼슈퍼,인천광역시 연수구 함박뫼로12번길 13-1,37.418446,126.672056
세븐일레븐연수타운점,"인천광역시 연수구 먼우금로 189, 102호(청학동, 소망글로벌)",37.414586,126.675845
지에스25청학현대점,"인천광역시 연수구 계림로35번길 58, 1층",37.428334,126.668606
청학고기할인마트,"인천광역시 연수구 비류대로239번길 45, 1층",37.428829,126.661969
킹마트,인천광역시 연수구 계림로 3,37.429096,126.663696
황해마트,인천광역시 연수구 청명로 31번길 9,37.418409,126.675648
중앙슈퍼,인천광역시 연수구 청명로 3번길 8-2,37.416528,126.673956
이마트에브리데이연수,인천광역시 연수구 용담로 11,37.422474,126.669874
세븐일레븐 청학서해,인천광역시 연수구 미추홀대로 251번길 9,37.421761,126.666332
제이디(JD)25,인천광역시 연수구 솔샘로 92번길 3,37.425499,126.663635
롯데마트연수,인천광역시 연수구 청능대로 87,37.415057,126.675168
경기마트,인천광역시 연수구 청학로 12번길 95,37.426951,126.668649
세븐일레븐 청학중앙,"인천광역시 연수구 청학로 10,대성빌딩 103호",37.427897,126.663584
싱싱할인마트,인천광역시 연수구 청학로 21번길 27,37.428673,126.663269
청학홈마트,인천광역시 연수구 청학로 16번길 79,37.427726,126.667931
송도국제종합상사,인천광역시 연수구 함박뫼로 12번길 26,37.418059,126.67272
CU 청학비류점,인천광역시 연수구 비류대로 239번길 22,37.427725,126.662162
GS25청학타운,인천광역시 연수구 청학로 12번길 47,37.42768,126.666224
에이스마트 청학점,인천광역시 연수구 솔샘로 43번길 15,37.4231,126.666642
GS25 청학수인,인천광역시 연수구 청학로 6번길 94,37.426329,126.668315
씨유 청학현대,인천광역시 연수구 계림로 112번길 4,37.427554,126.669387
gs25 청능공원점,인천광역시 연수구 청학동 청능말로7번길 20,37.41717,126.669442
CU연수청학점,인천광역시 연수구 용담로 93,37.416289,126.675923
gs25 청학본점,인천광역시 연수구 비류대로278번길 8-3,37.425973,126.665234
씨유 청학센터점,인천광역시 연수구 청학안로 26,37.430208,126.662062
세븐일레븐청학사랑점,인천광역시 연수구 용담로 74,37.417553,126.674259
노브랜드 인천청학점,"인천광역시 연수구 청능대로 23번길 11, 1층 일부호",37.419741,126.669166
GS25 연수파크자이,인천광역시 연수구 앵고개로 104번길 22 상가1층 110호,37.412009,126.656778
월드식자재마트,인천광역시 연수구 먼우금로 83번길 12,37.408322,126.668138
CU 송도나나,"인천광역시 연수구 앵고개로 113,",37.413352,126.658121
세븐일레븐인천송도점,인천광역시 연수구 능허대로 267번길 12,37.413053,126.654512
한빛마트,인천광역시 연수구 먼우금로 123,37.411098,126.670145
이마트24 동춘서해점,"인천광역시 연수구 봉재산로36번안길 21, 1층 101호",37.404437,126.669104
씨유 송도마들렌점,"인천광역시 연수구 능허대로 265, 1층",37.413077,126.653863
GS수퍼 인천동춘점,"인천광역시 연수구 봉재산로36번길 1, 103~107호(동춘동, 골드프라자)",37.408428,126.666003
돼지상회,인천광역시 연수구 앵고개로 87번길 12-22,37.413317,126.65628
대한슈퍼,인천광역시 연수구 먼우금로 83번길 49,37.406891,126.666526
GS25 동춘태평점,인천광역시 연수구 앵고개로 206번길 10,37.410639,126.66682
홈마트,인천광역시 연수구 먼우금로 141번길 62,37.412219,126.672627
씨유 동춘풍림점,인천광역시 연수구 먼우금로 149,37.412252,126.672505
GS25송도라마다점,"인천광역시 연수구 능허대로267번길 29, 지하층 108호",37.414314,126.655356
이마트24 연수대우점,"인천광역시 연수구 동곡재로117번길 22, 상가동 1층 107호(연수3차대우@)",37.412381,126.667716
프라임 홈 마트,"인천광역시 연수구 동춘동 731-10 동춘아이빌파크레인 상가동 101, 102호",37.407771,126.657727
이마트24연수자이파크,"인천광역시 연수구 앵고개로104번길 4, 106호(동춘동)",37.406506,126.657762
씨유 연수파크레인,인천광역시 연수구 능허대로 343 송도파크레인동일하이빌,37.408879,126.656896
아이스몬,인천광역시 연수구 능허대로 289번길 21 103호,37.406506,126.657762
동남슈퍼,인천광역시 연수구 먼우금로 19,37.401167,126.668234
한사랑마트(동춘점),인천광역시 연수구 경원대로 119번길 21,37.401677,126.674525
무지개마트,인천광역시 연수구 원인재로 14,37.401583,126.671079
이마트24 연수한양점,"인천광역시 연수구 앵고개로266(동춘동, 한양 B상가 101)",37.405395,126.672745
롯데슈퍼연수점,인천광역시 연수구 앵고개로 266,37.405395,126.672745
제일슈퍼,인천광역시 연수구 먼우금로 88,37.400716,126.668199
동남철물,인천광역시 연수구 먼우금로 19,37.401167,126.668234
연수홈마트,인천광역시 연수구 먼우금로 63번길 13,37.403893,126.668714
푸른두레생협 동춘점,인천광역시 연수구 앵고개로264번길 42,37.406628,126.671012
씨유 동춘풍림점,"인천광역시 연수구 경원대로119번길 21, 제상가동 110호(동춘동)",37.401677,126.674525
GS25동춘풍림점,"인천광역시 연수구 경원대로119번길 21, 101호",37.401677,126.674525
씨유 동춘현대점,"인천광역시 연수구 원인재로 56, 108호, 109호",37.403309,126.676195
이마트24연수현대점,"인천광역시 연수구 원인재로 56, 2동 1층 408호",37.403309,126.676195
유천BYC,인천광역시 연수구 먼우금로 302,37.422806,126.684115
이마트 24 연수서해점,인천광역시 연수구 능허대로 446번길 12 상가동 101 102호,37.400719,126.66445
GS 리테일연수점,인천광역시 연수구 원인재로 88,37.405955,126.678637
GS25 동춘한양,인천광역시 연수구 원인재로 88,37.405955,126.678637
CU 연수한양점,"인천광역시 연수구 원인재로124  한양1차@상가122,123",37.408004,126.680743
gs25 동춘현대점,인천광역시 연수구 먼우금로 126,37.408908,126.673369
씨유 동춘삼환점,인천광역시 연수구 원인재로 88 분산상가동 1층 101호,37.405955,126.678637
평화슈퍼,인천광역시 연수구 청능대로 124,37.410854,126.676008
한양마트,인천광역시 연수구 원인재로 124,37.408004,126.680743
(주)이마트 연수점,인천광역시 연수구 경원대로 184,37.404158,126.681106
씨유 연수롯데점,인천광역시 연수구 먼우금로161번길 12,37.41357,126.67405
홈플러스(주)인천연수,인천광역시 연수구 청능대로 210,37.405907,126.683604
동춘현대GS25,인천광역시 연수구 먼우금로 126,37.408908,126.673369
풍림마트,인천광역시 연수구 송도동 2-9 풍림4단지상가 111호,37.403141,126.643966
금호마트,인천광역시 연수구 해돋이로84번길 30  금호어울림상가 101호,37.391606,126.655534
한진슈퍼,인천광역시 연수구 해돋이로6번길33 해모로아파트상가107호,37.389218,126.660061
CU 송도 밀레니엄점,인천광역시 연수구 송도동 3-1 밀레니엄프라자 126호,37.395717,126.651006
롯데마켓999인천송도,인천광역시 연수구 신송로 122 (송도동)  송도프라자 102~104호,37.404521,126.64459
GS25 송도점,"인천광역시 연수구 송도동 3-13 풍림3단지상가 102,103호",37.391897,126.653303
GS25 송도타운점,"인천광역시 연수구 신송로 121, 센타프라자 120호",37.395261,126.651875
GS리테일송도점,"인천광역시 연수구 해돋이로 107, H동 1층(더샵퍼스트월드)",37.391085,126.64804
CU 송도 포스코 3호점,"인천광역시 연수구 해돋이로 107, 지동 1층 상가75호(퍼스트월드)",37.391085,126.64804
송도현대그린마트,"인천광역시 연수구 타워대로54번길 9, 지하1층",37.378947,126.646141
GS25 송도현대점,인천광역시 연수구 해돋이로6번길 7 송도상가 107,37.3879,126.658823
CU 송도 포스코 2호점,인천광역시 연수구 해돋이로 107 송도더샵 퍼스트월드 F동 1층4호,37.391085,126.64804
세븐일레븐송도웰카운,"인천광역시 연수구 해송로 143, 136동 1-1, 1-2",37.377597,126.648196
롯데마켓999송도2호점,인천광역시 연수구 해송로70 송도웰카운티2단지230동1층6호,37.378627,126.649265
드림디포송도신도시점,인천광역시 연수구 해돋이로 106 지하전체 및 1층 105호(송도동),37.383912,126.643855
CU 송도애니오션점,인천광역시 연수구 인천타워대로99,37.381214,126.642269
롯데마트 송도점,인천광역시 연수구 컨벤시아대로 177,37.388138,126.643285
인천 시설관리공단,인천광역시 연수구 송도동 테크노파크로 196,37.393754,126.651689
세븐일레븐아데니움점,인천광역시 연수구 신송로164(아테니움프라자107호),37.383912,126.643855
GS25 송도해송점,인천광역시 연수구 해송로30번길19 웰카운티송도3단지,37.381135,126.647118
CU 송도해모로점,인천광역시 연수구 송도과학로27번길 30 (송도해모로월드뷰312동),37.383912,126.643855
GS25 송도성지점,인천광역시 연수구 신송로6번길7 송도성지벨루스상가104-1호,37.389347,126.662285
행운마트,인천광역시 연수구 해돋이로120번길 16,37.393356,126.651923
홈플러스 송도점,인천광역시 연수구 송도국제대로 165,37.380364,126.656312
이마트24송도포스코점,인천광역시 연수구 해돋이로 107 C동 1층상가 2호(더샵퍼스트월드,37.391085,126.64804
푸른두레생협 송도1동,"인천광역시 연수구 해돋이로120번길 23, 110호(아크리아2)",37.394039,126.650818
GS25 송도하모니점,인천광역시 연수구 하모니로 124  송도타운 107호,37.385572,126.645058
CU송도에이스점,인천광역시 연수구 컨벤시아대로42번길 27 송도에이스프라자 2,37.397945,126.651393
GS25에듀포레점,"인천광역시 연수구 송도문화로84번길 24 상가동 105,106호",37.383912,126.643855
에브리데이송도호반점,인천광역시 연수구 송도문화로84번길 84,37.369304,126.656625
GS25송도메트로점,인천광역시 연수구 타워대로54번길 3 메트로프라자 103호,37.37853,126.645634
로그인 인천대입구역,"인천광역시 연수구 인천타워대로132번길 24, 105호",37.385638,126.643234
세븐일레븐반도타워,인천광역시 연수구 송도동8-6(테크노파크로111번길 12),37.391384,126.651617
쿱스토어경기송도점,"인천광역시 연수구 하모니로36번길 17, 비동1층101호(은하프라자)",37.383912,126.643855
씨유 송도해모로점,"인천광역시 연수구 송도과학로27번길 30 104,105호",37.383912,126.643855
세븐일레븐캐슬파크점,인천광역시 연수구 인천타워대로132번길 9,37.391384,126.651617
송도반도타워점,인천광역시 연수구 테크로파크로 111번길 12,37.391106,126.652006
CU송도힐스테이트점,"인천광역시 연수구 컨벤시아대로 90, 501동 1층 145호",37.394856,126.648145
이마트24송도커낼워크,인천광역시 연수구 아트센터대로 87,37.383912,126.643855
