상호명,주소,위도,경도,
남양슈퍼,미추홀구 인하로209번길 26(주안동),37.449776,126.6718087,
지에스25 주안파크자이점,미추홀구 신기길16번길 70,37.4475929,126.6727753,
지에스25 주안자이점,"인천광역시 미추홀구 인하로222번길 20 (주안동, 주안",37.4474602,126.6710813,
주안소비자마트,미추홀구 신기길58번길 50(주안동),37.4456411,126.6739663,
엄마손마트,"미추홀구 주안4동 426-25, 1층 (동주길135-43)",37.4574089,126.6824576,
지에스더프레시 인천석바위점,인천광역시 미추홀구 구월로8번길 18-62 (주안동) 더,37.4567099,126.6917449,
주안마트,미추홀구 경인로418번길 28 (주안동),37.4566862,126.6862504,
GS25 주안세일점,미추홀구 동주길 76(주안동),37.4547295,126.684936,
왕마트,미추홀구 주안4동 1474-20,37.453657,126.6818032,
하나마트,미추홀구 주안4동 1476-13,37.4532194,126.6832867,
씨유 주안에듀포레점,인천광역시 미추홀구 경원대로780번길 22(주안동) 1층,37.452828,126.6931169,
지에스25 인천점,인천광역시 남동구 구월남로48번길 23 (구월동) 1층,37.4526935,126.6945224,
씨유 구월주하점,인천광역시 남동구 구월남로48번길 39(구월동) 1층,37.4520039,126.6944385,
씨유 주안더샵아르테점,인천광역시 미추홀구 경원대로 820 (주안동) 1층 일부,37.456062,126.689795,
씨유 주안공단,"미추홀구 길파로39번길 2, 1층(주안동)",37.4693529,126.6796499,
레몬마트,"인천광역시 미추홀구 길파로27번길 43 (주안동, 주안",37.4679899,126.6765124,
씨유 주안하늘점,인천광역시 미추홀구 석정로433번길 29(주안동),37.4678369,126.6843064,
세븐일레븐 인천주안광명점,"석정로375번길11, 1층(주안동)",37.4678026,126.677263,
씨유 주안더로프,인천광역시 미추홀구 석정로 384 (주안동) 1층 101호,37.4667396,126.6781579,
제일미니슈퍼,미추홀구 주안5동28-7 동일에센빌 101,37.4658197,126.6760521,
이마트24R주안북부,"염창로65-1, 1층(주안동)",37.4657855,126.6814135,
소문난DC마트,"미추홀구 염창로 58, 아이존 A동 지하1층 219호",37.4655438,126.6804762,
현광세일마트,"염창로 92, 1층(주안동)",37.4653105,126.6839697,
지에스25 주안빌리지점,인천광역시 미추홀구 주안로205번길 14 (주안동) 1층,37.4641518,126.6929395,
광해할인마트,미추홀구 주안6동 966-3 광해리드빌상가106호,37.4640034,126.6878839,
강화할인마트,"미추홀구 주안로 151-3, 1층 일부 (주안동)",37.4639563,126.6867203,
민-마트,미추홀구 주안6동 975-2 (경원대로 897-15),37.4629322,126.6887399,
이마트24 주안월드스테이트점,"주안로 226, 1층 102호(주안동, 더월드스테이트)",37.4629017,126.6953334,
청도할인마트,미추홀구 경원대로887번길 24-3(주안동),37.4621623,126.6880953,
이마트24 주안월드점,인천광역시 미추홀구 경원대로 882 (주안동) 상가동 1,37.4612377,126.689964,
지에스25주안센터점,인천광역시 미추홀구 주안로160번길 53 (주안동) 1층(,37.4611508,126.6876338,
착한마트 석바위점,"경인로499번길23-5, 제지1층B01호(주안동, 센스빌)",37.4609598,126.6939653,
주식회사 에이알상사,인천광역시 미추홀구 경원대로852번길 84 (주안동) 1,37.4601651,126.6937782,
이마트24 R주안경인로,인천광역시 미추홀구 경인로 482 (주안동) 1층,37.4590873,126.6934126,
만인슈퍼,미추홀구 주안6동 1591-2 (구월로 19번길 35),37.4588313,126.6936603,
새로나마트,"구월로19번길 36, 11호(주안동)",37.4587148,126.6942214,
로얄할인마트,미추홀구 인주대로366번길 23(주안동),37.4503596,126.6781823,
신라할인마트,"미추홀구 인하로247번길 25, 가동 101호(주안동)",37.4495689,126.6755774,
세븐일레븐주안남광로,인하로257번길 21 (주안동),37.4492959,126.6767447,
이마트24 R인천인하로,인천광역시 미추홀구 인하로257번길 6 (주안동) 1층,37.4485349,126.676942,
드림마트,"미추홀구 미추홀대로 510,117(주안동,한덕주상복합)",37.4426298,126.6791522,
지에스25주안행복점,"인주대로418번길 15, 1층 103호, 105호(주안동)",37.4503908,126.6830824,
사거리마트,인천광역시 미추홀구 인주대로446번길 13 (주안동),37.4502054,126.6861174,
알지(RG)카페,인천광역시 미추홀구 인주대로470번길 21(주안동) 1층,37.4499562,126.6892237,
한아름슈퍼,미추홀구 인주대로496번길 16(주안동),37.4498561,126.6915491,
씨유 주안신기점,"미추홀구 미추홀대로586번길 58, 1층(주안동)",37.449215,126.6829843,
이마트24주안신기타운,"미추홀구 인하로329번길 13, 1층(주안동)",37.4487755,126.6846765,
지에스25 주안스타점,인천광역시 미추홀구 인하로298번길 29 (주안동) 상가,37.4463624,126.6821342,
세븐일레븐 주안한신휴점,인천광역시 미추홀구 주승로96번길 7 (주안동) 102~10,37.4443591,126.6811503,
세븐일레븐엑슬루타워,"미추홀구 소성로88(학익동, 엑슬루타워110호,111호)",37.4448624,126.6586906,
GS리테일학익점,미추홀구 학익1동 256-19,37.4422711,126.6642219,
GS25학익위브,미추홀구 학익1동739(노적산로45 학익두산위브 103호),37.4422285,126.6555851,
씨유 시티오씨엘1단지,"인천광역시 미추홀구 학익로 116 (학익동, 시티오씨엘",37.4419512,126.6431761,
지에스25 학익풍림점,인천광역시 미추홀구 매소홀로 338 (학익동) 상가동 1,37.4414793,126.6596409,
지에스25 학익SK뷰점,"인천광역시 미추홀구 매소홀로 385 (학익동) 101-1, 1",37.4407993,126.6640459,
